"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","fractionOfRawDataInFinal_seqs"
"104","Pa-RA-12_2.fastq.gz",6145,6114,6114,6114,0.994955248169243
"105","Pa-RA-13_1.fastq.gz",4088,4055,4055,4055,0.99192759295499
"106","Pa-RA-13_2.fastq.gz",4088,4055,4055,4055,0.99192759295499
"107","Pa-RA-14_1.fastq.gz",7802,7756,7756,7756,0.99410407587798
"108","Pa-RA-14_2.fastq.gz",7802,7756,7756,7756,0.99410407587798
"109","Pa-RA-15_1.fastq.gz",16,15,15,15,0.9375
"110","Pa-RA-15_2.fastq.gz",16,15,15,15,0.9375
"111","Pa-RA-16_1.fastq.gz",2015,1998,1998,1998,0.991563275434243
"112","Pa-RA-16_2.fastq.gz",2015,1998,1998,1998,0.991563275434243
"113","Pa-RA-17_1.fastq.gz",4547,4506,4506,4506,0.990983065757642
"114","Pa-RA-17_2.fastq.gz",4547,4506,4506,4506,0.990983065757642
"115","Pa-RA-18_1.fastq.gz",23144,23016,23016,23016,0.994469408918078
"116","Pa-RA-18_2.fastq.gz",23144,23016,23016,23016,0.994469408918078
"117","Pa-RA-19_1.fastq.gz",2569,2548,2548,2547,0.991436356558972
"118","Pa-RA-19_2.fastq.gz",2569,2548,2548,2547,0.991436356558972
"119","Pa-RA-20_1.fastq.gz",11002,10930,10930,10930,0.993455735320851
"120","Pa-RA-20_2.fastq.gz",11002,10930,10930,10930,0.993455735320851
"121","Pa-Se-01_1.fastq.gz",5353,5300,5300,5300,0.99009900990099
"122","Pa-Se-01_2.fastq.gz",5353,5300,5300,5300,0.99009900990099
"123","Pa-Se-02_1.fastq.gz",6093,6056,6056,6056,0.993927457738388
"124","Pa-Se-02_2.fastq.gz",6093,6056,6056,6056,0.993927457738388
"125","Pa-Se-03_1.fastq.gz",4016,3985,3985,3985,0.992280876494024
"126","Pa-Se-03_2.fastq.gz",4016,3985,3985,3985,0.992280876494024
"127","Pa-Se-04_1.fastq.gz",1320,1308,1308,1308,0.990909090909091
"128","Pa-Se-04_2.fastq.gz",1320,1308,1308,1308,0.990909090909091
"129","Pa-Se-05_1.fastq.gz",4383,4351,4351,4351,0.992699064567648
"130","Pa-Se-05_2.fastq.gz",4383,4351,4351,4351,0.992699064567648
"131","Pa-Se-06_1.fastq.gz",1129,1105,1105,1105,0.978742249778565
"132","Pa-Se-06_2.fastq.gz",1129,1105,1105,1105,0.978742249778565
"133","Pa-Se-07_1.fastq.gz",3719,3673,3673,3673,0.98763108362463
