,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
91,Se-Po-04_1.fastq.gz,51769,51716,51716,51716,0.998976221,51716,44937,44937,0.13108129,44937,44937,44937,44937,44937,44937,44937,0.868029129
92,Se-Po-05_1.fastq.gz,13411,13397,13397,13397,0.998956081,13397,11516,11516,0.140404568,11516,11516,11516,11431,11431,11415,11415,0.851166953
93,Se-Po-06_1.fastq.gz,54016,53967,53967,53967,0.999092861,53967,47299,47299,0.123556989,47299,47299,47299,47299,47299,47287,47287,0.8754258
94,Se-Po-07_1.fastq.gz,88767,88659,88659,88659,0.998783332,88659,76208,76208,0.140436955,76208,76208,76208,76208,76208,76193,76193,0.85834826
95,Se-Po-08_1.fastq.gz,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA
96,Se-Po-09_1.fastq.gz,63807,63738,63738,63738,0.998918614,63738,56840,56840,0.108224293,56840,56840,56840,56840,56840,56840,56840,0.890811353
97,Se-Po-10_1.fastq.gz,58241,58195,58195,58195,0.999210178,58195,50433,50433,0.133379156,50433,50433,50433,50433,50433,50433,50433,0.865936368
98,Se-Po-11_1.fastq.gz,60493,60429,60429,60429,0.998942026,60429,52591,52591,0.129705936,52591,52591,52591,52591,52591,52576,52576,0.869125353
99,Se-Po-12_1.fastq.gz,90422,90327,90327,90327,0.998949371,90327,80484,80474,0.10897074,80474,80474,80474,80474,80474,80434,80434,0.889540156
100,Se-Po-13_1.fastq.gz,53615,53563,53563,53563,0.999030122,53563,47237,42526,0.118103915,42526,42526,42526,42526,42526,42525,42525,0.793154901
101,Se-Po-14_1.fastq.gz,68309,68221,68221,68221,0.998711736,68221,60547,54364,0.112487357,54364,54364,54364,54364,54364,53753,53753,0.786909485
102,Se-Po-15_1.fastq.gz,65422,65352,65352,65352,0.998930024,65352,57008,49676,0.127677806,49676,49676,49676,49676,49676,49675,49675,0.759301153
103,Se-Po-16_1.fastq.gz,54959,54904,54904,54904,0.998999254,54904,48612,44203,0.114600029,44203,44203,44203,44203,44203,44201,44201,0.80425408
104,Se-Po-17_1.fastq.gz,28720,28700,28700,28700,0.999303621,28700,25222,23456,0.121184669,23456,23456,23456,23456,23456,23456,23456,0.816713092
105,Se-Po-18_1.fastq.gz,56744,56669,56669,56669,0.998678274,56669,49451,44237,0.127371226,44237,44237,44237,44237,44237,43976,43976,0.774989426
